更新时间,#genre#
CCTV-6,http://139.196.151.191:2051/rtp/239.45.1.70:5140$组播源
CCTV-6,http://139.196.151.191:6846/rtp/239.45.1.70:5140$组播源
CCTV-6,http://139.196.151.191:4874/rtp/239.45.1.70:5140$上海电信组播源
CCTV-6,http://139.196.151.191:2419/rtp/239.45.1.70:5140$上海电信组播源
CCTV-6,http://123.56.129.203:4310/rtp/225.1.8.84:8000$组播源
CCTV-6,http://123.56.129.203:4310/rtp/225.1.8.90:8000$组播源
CCTV-6,http://123.56.129.203:1418/rtp/225.1.8.84:8000$北京电信组播源
CCTV-6,http://123.56.129.203:1418/rtp/225.1.8.90:8000$北京电信组播源
CCTV-6,http://123.56.129.203:6944/rtp/225.1.8.84:8000$北京电信组播源
CCTV-6,http://123.56.129.203:6944/rtp/225.1.8.90:8000$北京电信组播源
CCTV-7,http://123.182.60.29:9002/hls/9/index.m3u8$订阅源
CCTV-7,http://vod.hnqczh.cn:808/hls/15/index.m3u8$订阅源
CCTV-7,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000024341/index.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=no$订阅源
CCTV-7,http://123.166.61.70:8003/hls/42/index.m3u8$订阅源|1920x1080
CCTV-7,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/6000000001000009055/1.m3u8?channel-id=wasusyt&Contentid=6000000001000009055&livemode=1&stbId=3$订阅源
CCTV-7,http://123.129.70.178:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://60.12.183.46:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-7,http://101.43.66.162/migunew.php?id=cctv7$订阅源
CCTV-7,http://119.163.199.98:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://1732e975z9.zicp.fun:8082/hls/8/index.m3u8$订阅源
CCTV-7,http://139.196.151.191:6846/rtp/239.45.3.56:5140$组播源
CCTV-7,http://139.196.151.191:2051/rtp/239.45.3.56:5140$组播源
CCTV-7,http://139.196.151.191:4874/rtp/239.45.3.56:5140$上海电信组播源
CCTV-7,http://139.196.151.191:2419/rtp/239.45.3.56:5140$上海电信组播源
CCTV-7,http://123.56.129.203:4310/rtp/225.1.8.7:8104$组播源
